,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
14007,1,[17459],[1.99605],1.99605
14008,1,[47340],[0.0321],0.0321
14009,1,[6259],[1.35e-05],1.35e-05
14010,1,[34566],[0.343217],0.343217
14011,1,[16996],[0.00345244],0.00345244
14012,1,[17237],[0.004509],0.004509
14013,1,[48402],[0.655312],0.655312
14014,1,[40235],[0.001125],0.001125
14015,1,[20176],[0.0009568],0.0009568
14016,1,[47949],[0.000504],0.000504
14017,1,[422],[0.03],0.03
14018,1,[35365],[0.223125],0.223125
14019,1,[24473],[0.00054],0.00054
14020,1,[2460],[0.000456],0.000456
14021,1,[35401],[0.001],0.001
14022,1,[47016],[0.001125],0.001125
14023,1,[20072],[0.00105],0.00105
14024,1,[34068],[5.08e-06],5.08e-06
14025,1,[48229],[0.00036575],0.00036575
14026,1,[39599],[0.0035606],0.0035606
14027,1,[24371],[0.001],0.001
14028,1,[47340],[0.0321],0.0321
14029,1,[37154],[0.000729],0.000729
14030,1,[1978],[0.109],0.109
14031,1,[16629],[0.39166253],0.39166253
14032,1,[34108],[0.0009568],0.0009568
14033,2,"[18461, 6270]","[0.00021, 0.13395791]",0.13416791
14034,1,[34658],[0.001],0.001
14035,1,[39353],[0.00345244],0.00345244
14036,1,[34099],[0.7943],0.7943
14037,1,[16972],[0.000603],0.000603
14038,1,[20268],[0.000149],0.000149
14039,2,"[48396, 40744]","[0.43168, 0.04]",0.47168
14040,1,[25802],[0.00105],0.00105
14041,1,[48443],[0.29626047],0.29626047
14042,1,[37537],[0.03121867],0.03121867
14043,1,[40689],[0.0009958],0.0009958
14044,1,[1256],[0.0768],0.0768
14045,2,"[35501, 24116]","[0.0009568, 0.071824]",0.07278079999999999
14046,1,[34061],[0.072],0.072
14047,1,[37188],[0.01],0.01
14048,1,[35400],[0.071824],0.071824
14049,1,[35461],[0.03],0.03
14050,1,[12991],[0.00056],0.00056
14051,2,"[34092, 8290]","[0.0015, 0.020912]",0.022412
14052,1,[50830],[0.0001],0.0001
14053,1,[37177],[0.006222],0.006222
14054,1,[30213],[0.071824],0.071824
14055,1,[35242],[0.05626684],0.05626684
14056,1,[17387],[0.0001],0.0001
14057,1,[17459],[1.99605],1.99605
14058,1,[24356],[0.00449],0.00449
14059,1,[23566],[0.0381],0.0381
14060,1,[1335],[0.08],0.08
14061,1,[27452],[0.028059],0.028059
14062,1,[52910],[0.004511],0.004511
14063,1,[46088],[0.002554],0.002554
14064,1,[17358],[0.0001],0.0001
14065,1,[34028],[0.0263],0.0263
14066,1,[17435],[0.0001],0.0001
14067,1,[20306],[0.028782],0.028782
14068,1,[17435],[0.0001],0.0001
14069,2,"[34116, 34420]","[0.001125, 0.06]",0.061125
14070,1,[33840],[0.0009568],0.0009568
14071,1,[50849],[0.02987],0.02987
14072,1,[34811],[0.03968489],0.03968489
14073,1,[35038],[1.29],1.29
14074,1,[34742],[0.006729],0.006729
14075,1,[48443],[0.29626047],0.29626047
14076,1,[36014],[6.883e-05],6.883e-05
14077,1,[42695],[0.000764],0.000764
14078,1,[38179],[0.050449],0.050449
14079,1,[47287],[0.001],0.001
14080,1,[36022],[0.06],0.06
14081,1,[1501],[0.00296],0.00296
14082,2,"[24415, 27787]","[0.070148, 0.000646]",0.070794
14083,1,[41647],[0.0010862],0.0010862
14084,1,[17961],[0.0001],0.0001
14085,1,[43922],[0.036214],0.036214
14086,1,[11990],[1.376],1.376
14087,1,[24501],[0.004361],0.004361
14088,1,[41916],[0.49558119],0.49558119
14089,1,[37584],[1.555],1.555
14090,5,"[24371, 371, 34673, 19854, 17434]","[0.001, 0.07844938, 1.1983904, 0.006235, 0.046322]",1.33039678
14091,1,[36486],[0.020912],0.020912
14092,1,[18361],[0.00094812],0.00094812
14093,1,[24324],[1.11],1.11
14094,1,[36688],[0.00066681],0.00066681
14095,1,[41915],[0.001841],0.001841
14096,2,"[34095, 17491]","[0.00345244, 0.236]",0.23945244
14097,2,"[199, 45153]","[0.093329, 0.0009568]",0.09428579999999999
14098,1,[37114],[0.004361],0.004361
14099,1,[4723],[0.0009568],0.0009568
14100,1,[37473],[0.0009568],0.0009568
